"","counts.CD8T","counts.CD4T","counts.NK","counts.Bcell","counts.Mono","counts.Neu"
"GSM1920348_9344730057_R05C02",0.0669218406397039,0.142884579050206,0.0270757765140945,0.0286371249750787,0.0992056832568397,0.674176223379782
"GSM1920349_8221924024_R03C02",0.113267923953768,0.107716805900972,5.75011864202872e-19,0.077097468441414,0.0426201693288209,0.698271498357093
"GSM1920350_9376525059_R01C01",0.0750755918162868,0.0714227235221791,0.00617979221107007,0.0598723809126334,0.0754200873674216,0.766522710869808
"GSM1920351_9376525060_R01C02",0.221360249241999,0.14378690096937,0.0905116454957101,0.11910808681303,0.0696853395885036,0.402230659403938
"GSM1920352_8221916168_R06C01",0.176591247089762,0.129389038137114,-3.41820488910702e-18,0.0626920415103044,0.0868539521945352,0.573407966286867
"GSM1920353_8942297063_R04C02",0.21491364160621,0.43701002686751,1.18773753899446e-19,0.180380045802525,0.077969861371456,0.163042992304814
"GSM1920354_9376525060_R03C01",0.155686732530192,0.416862810572593,0.0231463561486926,0.192805696638091,0.0823901274327495,0.2038188510009
"GSM1920355_8942297063_R01C02",0.14069221390864,0.203102436146946,-5.85067047564283e-19,0.187266425662836,0.0940123308426681,0.43247041299387
"GSM1920356_8942297082_R03C02",0.16080133581417,0.131695982296816,0.0703176337393866,0.0632271510473471,0.0928485434765242,0.53627660407283
"GSM1920357_8221916168_R01C02",0.129308183367474,0.169571868869437,0.0431197859893622,0.0937930056968224,0.0590614120451241,0.526813390531336
"GSM1920358_9344730057_R06C02",0.0751386967192925,0.138991780184868,0.0301703140851204,0.0679186353533376,0.0423609856474615,0.687365739874001
"GSM1920359_8221916168_R06C02",0.188017155050461,0.249085057313932,-1.05553710047582e-19,0.0848450406201353,0.0501822924968384,0.479071705536589
"GSM1920360_7497398013_R03C01",0.0803055583133864,0.134633739294367,0.0284110594422268,0.0529997045119533,0.128640599114139,0.629335101661151
"GSM1920361_8942297063_R06C02",0.0942951288778033,0.117738685385845,0.00975633412134293,0.0997427551105697,0.0664786714727589,0.662311937823223
"GSM1920362_8942297082_R04C01",0.100858965717091,0.180647657921155,0.0911615587084913,0.0926897144013113,0.0638571779001987,0.531694232974946
"GSM1920363_8942297084_R04C02",0.120741388383791,0.24169755138615,0.0183597194743881,0.0964052295450431,0.0709812114012943,0.505119815239479
"GSM1920364_8942297082_R02C01",0.0648402728797455,0.0583981722735254,0.0196808152829038,0.0646048479900664,0.0459220072475282,0.791284789007567
"GSM1920365_9376525059_R04C01",0.158116421875616,0.146891574891093,0.0597062998108629,0.0685559168918201,0.042904598731012,0.568689018593887
"GSM1920366_8221924024_R06C02",0.160554614646968,0.140460097084585,0.0698340483044824,0.0808384682895383,0.0726882485733315,0.520796737706711
"GSM1920367_9376525059_R05C02",0.132806065866523,0.244804265288956,-1.02689571316236e-18,0.155910881834176,0.0455121741986067,0.480912370348532
"GSM1920368_9376525060_R05C01",0.108613850823672,0.097145018160409,-5.01528585125966e-19,0.0968322762611345,0.0482426656983649,0.704259877258996
"GSM1920369_9376525059_R03C02",0.118635109399809,0.152600857612304,-4.65010541393707e-19,0.0715830216385722,0.0491152390699161,0.650280808444337
"GSM1920370_8221924015_R02C01",0.0958762626192427,0.139868750465608,0.0476995332875964,0.0645634329797977,0.0556495849710354,0.619441019518212
"GSM1920371_8942297063_R05C02",0.151670810492482,0.113862106525309,-5.43436651841828e-20,0.0655822373061085,0.0529150955051146,0.676084509807425
"GSM1920372_8942297084_R02C01",0.164882957919063,0.18600827057742,-1.64919688775401e-18,0.0753335825943431,0.0510150024663077,0.571681094303617
"GSM1920373_8942297082_R01C01",0.136862283964133,0.21406404467248,2.06200991155109e-18,0.0399020795019059,0.0637595881017073,0.609971464325966
"GSM1920374_8942297082_R04C02",0.123696842505342,0.176279267380002,1.00544797784839e-18,0.0912743840159634,0.056916993305675,0.617285117355727
"GSM1920375_8942297082_R05C02",0.0975627910172896,0.104816359557159,0.00146311152832689,0.211810817707633,0.0826097232953876,0.56735455735649
"GSM1920376_8221924015_R03C01",0.219753004670486,0.284686191456952,-4.96444708461309e-19,0.115211839191539,0.0488476404147273,0.369128832999228
"GSM1920377_9376525059_R05C01",0.141745545460424,0.106479474617286,7.54489728494452e-19,0.0268017029972761,0.0468210170318335,0.724573710306817
"GSM1920378_9344730057_R06C01",0.138813454130641,0.188882447194078,0.00906172418610101,0.11746540009704,0.111583579402991,0.481829111315343
"GSM1920379_8942297082_R06C02",0.175603266514083,0.176396604777496,6.62746490386904e-19,0.0986081171029013,0.0609086744556921,0.560765070808487
"GSM1920380_8942297082_R03C01",0.128019682202374,0.111789800819701,0.0526501523606325,0.0774773844896757,0.0881542845563562,0.59013056860544
"GSM1920381_3999941051_R06C02",0.0835444171019441,0.15801531308993,0.0249574996281944,0.0695756492734967,0.0467423481359054,0.651302683307942
"GSM1920382_8221924015_R04C01",0.141032281650912,0.198441487591471,0.0351927239999843,0.0743126058049474,0.0567269189266522,0.539193085743917
"GSM1920383_8942297084_R03C01",0.0749783313592867,0.148019067767987,1.05937517233933e-19,0.0815823017831751,0.0589225458107061,0.676662536089291
"GSM1920384_8942297115_R06C01",0.128198135689196,0.173741329942992,0.0411634531454058,0.0608067380402887,0.0633218947177803,0.580261395621111
"GSM1920385_9376525060_R01C01",0.24411553178225,0.375525345115381,4.66513573780775e-18,0.226757337504437,0.0150170290623747,0.215060671805056
"GSM1920386_8221916168_R05C02",0.120383177439179,0.110381565866384,1.10050266683865e-18,0.085260872784405,0.0515162056311035,0.662789522496645
"GSM1920387_7497398013_R06C01",0.107300949124489,0.0791745053539264,0.0153058601336719,0.113726993814546,0.0617352540926252,0.6678530640913
"GSM1920388_9376525059_R02C02",0.160202677176858,0.270917455336519,-3.73887384658144e-19,0.0860032802138278,0.0790572343260059,0.455122270782968
"GSM1920389_8942297115_R02C01",0.225754827992229,0.227106120030183,0.0131741955720741,0.120231411620392,0.0710245748030004,0.408291113374421
"GSM1920390_8221924015_R01C02",0.105020009888321,0.205943598321701,0.088206470283061,0.134975345364474,0.0553938733149937,0.456614457675671
"GSM1920391_8942297084_R06C02",0.227528328913442,0.331138995978971,0.0181051605745291,0.122839442918994,0.108461310959737,0.271694914495067
"GSM1920392_8942297084_R06C01",0.199686621136113,0.24468749275737,1.08890347943238e-19,0.10655377419473,0.0640187124024667,0.43658844258649
"GSM1920393_8942297115_R05C01",0.146475025451247,0.312930427569328,-4.35035245777592e-20,0.216252601068906,0.05401461935485,0.350923199966611
"GSM1920394_8942297115_R03C02",0.131289267523729,0.141073419191092,0.0270877736132698,0.116828831368384,0.0665665465206467,0.58166397455436
"GSM1920395_8942297115_R04C01",0.0737171834786884,0.187888355297472,0.124999823124772,0.109594513861625,0.0791217982505185,0.486578762179676
"GSM1920396_8942297063_R04C01",0.155008969327049,0.155523469502756,0.00326012794045412,0.102468916114814,0.148732400256991,0.50314194492676
"GSM1920397_9376525060_R06C01",0.149033675635694,0.152798078404947,-9.66421485537981e-19,0.103083468931816,0.0716445208453682,0.570141139934088
"GSM1920398_9376525060_R02C01",0.0734207045856397,0.133296606428065,4.75581965961258e-20,0.136237710405803,0.0770712858571188,0.625741959592633
"GSM1920399_8942297084_R05C01",0.138219689777824,0.16258658119324,-2.49331108952942e-21,0.103276206885218,0.0468531665755277,0.599750469516017
"GSM1920400_8942297063_R05C01",0.0339835314928009,0.0692497355992623,0.0134141937473591,0.0477695315060061,0.0996039411120073,0.781569297035084
"GSM1920405_7796806146_R05C02",0.0479946132259796,0.139024926488232,0.00374771266636163,0.132531576164465,0.13273138943179,0.606666784927473
"GSM1920406_7796806146_R06C02",0.0559338848092093,0.0890502285955168,-8.88669896113069e-20,0.0725253769034159,0.0759378965978039,0.755742243603739
"GSM1920407_7796806156_R03C01",0.036851503879609,1.57830806933988e-19,5.63602778557317e-19,0.0567279536719107,0.101871538002312,0.834669845716705
"GSM1920408_7796806156_R02C01",0.224767940365587,0.145287682048532,0.0727199555947358,0.298408988675864,0.0695443984213049,0.243080663649541
"GSM1920409_8942297063_R02C02",0.166217159038893,0.242964019247285,-2.92633299873583e-18,0.17814912221293,0.0694728919805464,0.42237209874731
"GSM1920410_8221924024_R05C01",0.0483356888942941,0.102259206317027,0.018549720442079,0.0867983543101134,0.103435563090105,0.666983699992212
"GSM1920411_7497398001_R04C02",0.122734001673179,0.352578893292574,-4.88833199412781e-19,0.258064573830171,0.0675259278816816,0.232712001081224
"GSM1920412_8221924024_R01C01",0.0648742910045132,0.11396145010901,0.0457349172298263,0.147802296626212,0.0876919518027839,0.553667183794986
"GSM1920413_8221924015_R05C02",0.117854460113235,0.141771841474668,2.56579614873013e-19,0.110127511408614,0.0997699099101844,0.55273811054472
"GSM1920414_8221924024_R06C01",0.0694097215612903,0.17908655586128,6.77969815579512e-19,0.168535293659441,0.132449014503401,0.485937153907946
"GSM1920415_7796806156_R01C01",0.149195103551238,0.123684872228108,0.0182852706749845,0.0967516552565298,0.0494929301986211,0.613100818658419
"GSM1920416_8221924024_R04C01",0.029938359068842,0.085735498919577,1.41441540209515e-19,0.11805110437991,0.0885507918917925,0.709983694715639
"GSM1920417_8221924024_R01C02",0.0280241659742495,0.134801410649091,0.0587688278514248,0.105478067733628,0.08112544799042,0.610307793532936
